Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
New Orleans Hornets,F,Al-Farouq Aminu,San Antonio Spurs,L,10/31/2012,37:06,8,16,0.5,0,1,0.0,1,2,0.5,0,7,7,3,2,3,3,2,17,-17
New Orleans Hornets,F,Anthony Davis,San Antonio Spurs,L,10/31/2012,29:04,6,12,0.5,0,0,0.0,9,9,1.0,3,4,7,0,1,1,0,0,21,-20
New Orleans Hornets,C,Robin Lopez,San Antonio Spurs,L,10/31/2012,25:32,4,10,0.4,0,0,0.0,0,0,0.0,3,6,9,3,0,1,2,2,8,-15
New Orleans Hornets,G,Austin Rivers,San Antonio Spurs,L,10/31/2012,24:06,1,9,0.111,0,2,0.0,5,6,0.833,0,1,1,2,0,0,3,3,7,-2
New Orleans Hornets,G,Greivis Vasquez,San Antonio Spurs,L,10/31/2012,37:28,4,8,0.5,0,3,0.0,0,0,0.0,0,6,6,13,1,0,2,3,8,-5
New Orleans Hornets,F,Al-Farouq Aminu,Utah Jazz,W,11/02/2012,34:14,7,10,0.7,0,0,0.0,1,2,0.5,2,6,8,2,2,0,2,2,15,14
New Orleans Hornets,F,Anthony Davis,Utah Jazz,W,11/02/2012,14:25,4,6,0.667,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,0,8,6
New Orleans Hornets,C,Robin Lopez,Utah Jazz,W,11/02/2012,35:53,9,16,0.563,0,0,0.0,1,1,1.0,3,4,7,0,0,1,1,3,19,4
New Orleans Hornets,G,Austin Rivers,Utah Jazz,W,11/02/2012,28:41,0,4,0.0,0,0,0.0,2,2,1.0,0,2,2,6,2,0,2,2,2,8
New Orleans Hornets,G,Greivis Vasquez,Utah Jazz,W,11/02/2012,36:34,5,13,0.385,0,1,0.0,3,6,0.5,0,4,4,10,0,1,3,0,13,12
New Orleans Hornets,F,Al-Farouq Aminu,Chicago Bulls,W,11/03/2012,26:55,4,6,0.667,0,0,0.0,0,0,0.0,2,4,6,1,2,2,3,4,8,6
New Orleans Hornets,F,Ryan Anderson,Chicago Bulls,W,11/03/2012,42:10,5,13,0.385,1,7,0.143,1,1,1.0,3,10,13,1,0,0,3,4,12,8
New Orleans Hornets,C,Robin Lopez,Chicago Bulls,W,11/03/2012,32:45,7,10,0.7,0,0,0.0,2,4,0.5,1,6,7,0,1,4,3,0,16,11
New Orleans Hornets,G,Austin Rivers,Chicago Bulls,W,11/03/2012,33:50,4,12,0.333,0,2,0.0,1,2,0.5,0,3,3,2,3,1,2,3,9,9
New Orleans Hornets,G,Greivis Vasquez,Chicago Bulls,W,11/03/2012,35:46,6,18,0.333,2,4,0.5,4,4,1.0,1,3,4,6,0,0,4,2,18,9
New Orleans Hornets,F,Al-Farouq Aminu,Philadelphia 76ers,L,11/07/2012,39:57,3,11,0.273,0,2,0.0,4,6,0.667,4,12,16,3,2,0,4,3,10,-14
