Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Orlando Magic,,JJ Redick,Denver Nuggets,W,11/02/2012,34:46,7,11,0.636,3,4,0.75,4,5,0.8,0,4,4,6,1,0,0,1,21,10
Orlando Magic,,Josh McRoberts,Denver Nuggets,W,11/02/2012,27:09,4,4,1.0,0,0,0.0,1,2,0.5,1,6,7,3,2,1,3,4,9,25
Orlando Magic,,E'Twaun Moore,Denver Nuggets,W,11/02/2012,24:32,6,10,0.6,1,3,0.333,0,0,0.0,2,3,5,3,0,1,1,2,13,18
Orlando Magic,,Ish Smith,Denver Nuggets,W,11/02/2012,5:15,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3
Orlando Magic,,Andrew Nicholson,Denver Nuggets,W,11/02/2012,11:18,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,1,0,1,1,3,2,-1
Orlando Magic,,Kyle O'Quinn,Denver Nuggets,W,11/02/2012,3:16,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-4
Orlando Magic,,JJ Redick,Phoenix Suns,W,11/04/2012,33:42,9,14,0.643,3,4,0.75,3,4,0.75,0,1,1,6,1,0,3,1,24,15
Orlando Magic,,Gustavo Ayon,Phoenix Suns,W,11/04/2012,8:43,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,-1
Orlando Magic,,Josh McRoberts,Phoenix Suns,W,11/04/2012,18:25,1,4,0.25,0,0,0.0,3,4,0.75,3,4,7,3,0,0,0,3,5,6
Orlando Magic,,Ish Smith,Phoenix Suns,W,11/04/2012,10:00,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,0,0,1,0,0,6
Orlando Magic,,Andrew Nicholson,Phoenix Suns,W,11/04/2012,6:39,2,3,0.667,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,1,5,14
Orlando Magic,,Kyle O'Quinn,Phoenix Suns,W,11/04/2012,1:23,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,4
Orlando Magic,,JJ Redick,Chicago Bulls,L,11/06/2012,34:21,4,11,0.364,2,6,0.333,0,0,0.0,0,2,2,7,0,0,2,2,10,-4
Orlando Magic,,Josh McRoberts,Chicago Bulls,L,11/06/2012,14:44,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,1,0,-4
Orlando Magic,,Ish Smith,Chicago Bulls,L,11/06/2012,16:21,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,5,0,0,2,0,2,5
Orlando Magic,,Gustavo Ayon,Chicago Bulls,L,11/06/2012,11:00,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,1,3,1,0,4
Orlando Magic,,Andrew Nicholson,Chicago Bulls,L,11/06/2012,6:51,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,2,-7
Orlando Magic,,JJ Redick,Minnesota Timberwolves,L,11/07/2012,19:42,5,12,0.417,1,4,0.25,5,5,1.0,0,2,2,1,0,0,5,1,16,-11
Orlando Magic,,Gustavo Ayon,Minnesota Timberwolves,L,11/07/2012,19:47,3,5,0.6,0,0,0.0,0,0,0.0,1,3,4,1,1,0,1,3,6,-3
Orlando Magic,,Andrew Nicholson,Minnesota Timberwolves,L,11/07/2012,26:31,3,8,0.375,0,0,0.0,5,5,1.0,2,3,5,0,0,2,2,5,11,6
Orlando Magic,,Ish Smith,Minnesota Timberwolves,L,11/07/2012,20:04,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,4,0,1,0,0,0,11
Orlando Magic,,Maurice Harkless,Minnesota Timberwolves,L,11/07/2012,22:20,2,6,0.333,0,1,0.0,3,4,0.75,2,3,5,2,3,2,0,4,7,3
Orlando Magic,,Kyle O'Quinn,Minnesota Timberwolves,L,11/07/2012,8:04,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,8
Orlando Magic,,JJ Redick,Brooklyn Nets,L,11/09/2012,23:27,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,3,1,0,1,1,4,-26
Orlando Magic,,Gustavo Ayon,Brooklyn Nets,L,11/09/2012,7:19,0,1,0.0,0,0,0.0,0,2,0.0,0,3,3,1,0,0,0,3,0,3
Orlando Magic,,Andrew Nicholson,Brooklyn Nets,L,11/09/2012,14:30,4,4,1.0,0,0,0.0,2,2,1.0,1,2,3,0,0,0,1,2,10,-3
Orlando Magic,,Ish Smith,Brooklyn Nets,L,11/09/2012,16:45,1,5,0.2,0,0,0.0,0,0,0.0,1,1,2,2,0,0,3,1,2,-25
Orlando Magic,,Maurice Harkless,Brooklyn Nets,L,11/09/2012,20:57,0,1,0.0,0,0,0.0,0,2,0.0,0,3,3,0,1,2,0,1,0,-12
Orlando Magic,,Kyle O'Quinn,Brooklyn Nets,L,11/09/2012,8:06,0,2,0.0,0,0,0.0,2,2,1.0,0,3,3,0,0,2,2,2,2,-5
Orlando Magic,,Josh McRoberts,Brooklyn Nets,L,11/11/2012,13:21,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,2,-25
Orlando Magic,,Maurice Harkless,Brooklyn Nets,L,11/11/2012,10:57,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,3,0,-14
Orlando Magic,,Ish Smith,Brooklyn Nets,L,11/11/2012,7:13,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,0
Orlando Magic,,Andrew Nicholson,Brooklyn Nets,L,11/11/2012,3:14,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1
Orlando Magic,,Gustavo Ayon,Brooklyn Nets,L,11/11/2012,8:03,1,2,0.5,0,0,0.0,0,2,0.0,2,1,3,0,0,0,0,1,2,-1
Orlando Magic,,Josh McRoberts,New York Knicks,L,11/13/2012,16:41,1,2,0.5,0,0,0.0,1,2,0.5,1,5,6,2,0,0,0,1,3,-6
Orlando Magic,,Maurice Harkless,New York Knicks,L,11/13/2012,19:21,5,7,0.714,0,0,0.0,0,2,0.0,4,3,7,0,0,4,1,0,10,-2
Orlando Magic,,Ish Smith,New York Knicks,L,11/13/2012,8:60,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-5
Orlando Magic,,Gustavo Ayon,New York Knicks,L,11/13/2012,2:19,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-3
Orlando Magic,,Andrew Nicholson,New York Knicks,L,11/13/2012,9:47,4,7,0.571,0,0,0.0,3,4,0.75,1,1,2,0,1,0,1,0,11,1
Orlando Magic,,Andrew Nicholson,Detroit Pistons,W,11/16/2012,14:34,3,8,0.375,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,0,6,8
Orlando Magic,,E'Twaun Moore,Detroit Pistons,W,11/16/2012,18:04,3,6,0.5,0,1,0.0,0,0,0.0,0,1,1,4,0,0,1,1,6,-2
Orlando Magic,,Josh McRoberts,Detroit Pistons,W,11/16/2012,8:60,3,4,0.75,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,1,7,7
Orlando Magic,,Gustavo Ayon,Detroit Pistons,W,11/16/2012,17:06,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,2,1,0,0,2,6,-2
Orlando Magic,,Maurice Harkless,Detroit Pistons,W,11/16/2012,9:59,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,3
Orlando Magic,,E'Twaun Moore,Toronto Raptors,L,11/18/2012,27:48,5,11,0.455,2,5,0.4,4,4,1.0,0,1,1,4,0,0,4,3,16,-9
Orlando Magic,,Josh McRoberts,Toronto Raptors,L,11/18/2012,15:04,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,2,2,-7
Orlando Magic,,Andrew Nicholson,Toronto Raptors,L,11/18/2012,15:47,2,7,0.286,0,0,0.0,4,5,0.8,0,3,3,0,0,0,0,0,8,8
Orlando Magic,,Maurice Harkless,Toronto Raptors,L,11/18/2012,10:01,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,3
