Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Phoenix Suns,F,Michael Beasley,Golden State Warriors,L,10/31/2012,22:08,2,9,0.222,1,2,0.5,3,4,0.75,1,3,4,1,0,1,2,0,8,-6
Phoenix Suns,F,Luis Scola,Golden State Warriors,L,10/31/2012,31:57,7,13,0.538,1,2,0.5,0,0,0.0,2,9,11,1,3,3,0,3,15,0
Phoenix Suns,C,Marcin Gortat,Golden State Warriors,L,10/31/2012,34:11,5,10,0.5,0,0,0.0,0,0,0.0,3,6,9,1,0,5,3,4,10,9
Phoenix Suns,G,Jared Dudley,Golden State Warriors,L,10/31/2012,35:06,4,11,0.364,1,6,0.167,2,4,0.5,1,5,6,3,1,0,4,1,11,13
Phoenix Suns,G,Goran Dragic,Golden State Warriors,L,10/31/2012,36:43,4,12,0.333,1,5,0.2,8,10,0.8,1,5,6,8,3,1,3,3,17,6
Phoenix Suns,F,Michael Beasley,Detroit Pistons,W,11/02/2012,28:38,7,18,0.389,0,2,0.0,2,2,1.0,3,4,7,0,0,0,3,4,16,7
Phoenix Suns,F,Luis Scola,Detroit Pistons,W,11/02/2012,28:43,6,12,0.5,0,0,0.0,1,1,1.0,2,7,9,1,1,0,1,4,13,16
Phoenix Suns,C,Marcin Gortat,Detroit Pistons,W,11/02/2012,35:33,7,13,0.538,0,0,0.0,2,2,1.0,4,12,16,0,1,3,1,2,16,3
Phoenix Suns,G,Jared Dudley,Detroit Pistons,W,11/02/2012,24:58,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,1,2,0,0,2,2,11
Phoenix Suns,G,Goran Dragic,Detroit Pistons,W,11/02/2012,34:21,5,10,0.5,1,2,0.5,4,6,0.667,1,1,2,10,1,0,1,0,15,4
Phoenix Suns,F,Michael Beasley,Orlando Magic,L,11/04/2012,34:25,9,17,0.529,3,7,0.429,1,1,1.0,2,4,6,1,0,2,3,1,22,-7
Phoenix Suns,F,Luis Scola,Orlando Magic,L,11/04/2012,32:15,10,19,0.526,0,0,0.0,4,5,0.8,2,5,7,4,1,1,0,1,24,-5
Phoenix Suns,C,Marcin Gortat,Orlando Magic,L,11/04/2012,35:03,7,12,0.583,0,0,0.0,0,0,0.0,7,4,11,1,0,4,3,1,14,-18
Phoenix Suns,G,Jared Dudley,Orlando Magic,L,11/04/2012,24:59,1,4,0.25,1,2,0.5,0,2,0.0,2,2,4,1,0,0,1,1,3,-6
Phoenix Suns,G,Goran Dragic,Orlando Magic,L,11/04/2012,34:32,5,12,0.417,1,5,0.2,1,2,0.5,2,1,3,8,1,0,3,3,12,-14
Phoenix Suns,F,Michael Beasley,Miami Heat,L,11/05/2012,28:50,3,13,0.231,1,5,0.2,0,0,0.0,0,1,1,1,1,1,1,3,7,-22
Phoenix Suns,F,Luis Scola,Miami Heat,L,11/05/2012,33:27,5,11,0.455,0,1,0.0,5,6,0.833,2,6,8,0,1,0,2,2,15,-23
Phoenix Suns,C,Marcin Gortat,Miami Heat,L,11/05/2012,27:24,6,10,0.6,0,0,0.0,0,2,0.0,5,8,13,0,0,2,0,0,12,-22
Phoenix Suns,G,Jared Dudley,Miami Heat,L,11/05/2012,22:40,3,9,0.333,0,2,0.0,2,2,1.0,0,0,0,2,1,0,2,3,8,-15
Phoenix Suns,G,Goran Dragic,Miami Heat,L,11/05/2012,28:41,3,9,0.333,2,3,0.667,5,6,0.833,0,3,3,9,2,0,2,2,13,-16
Phoenix Suns,F,Michael Beasley,Charlotte Bobcats,W,11/07/2012,42:47,7,21,0.333,1,5,0.2,6,8,0.75,6,9,15,7,1,3,5,2,21,15
Phoenix Suns,F,Luis Scola,Charlotte Bobcats,W,11/07/2012,28:00,4,9,0.444,0,0,0.0,1,2,0.5,6,1,7,5,1,0,1,2,9,8
Phoenix Suns,C,Marcin Gortat,Charlotte Bobcats,W,11/07/2012,38:19,10,14,0.714,0,0,0.0,3,4,0.75,3,7,10,2,1,7,1,5,23,9
Phoenix Suns,G,Jared Dudley,Charlotte Bobcats,W,11/07/2012,31:13,4,10,0.4,2,5,0.4,0,0,0.0,0,4,4,3,0,0,0,3,10,2
Phoenix Suns,G,Goran Dragic,Charlotte Bobcats,W,11/07/2012,32:50,5,10,0.5,3,6,0.5,3,5,0.6,1,1,2,8,0,0,2,3,16,8
Phoenix Suns,F,Michael Beasley,Cleveland Cavaliers,W,11/09/2012,25:13,4,14,0.286,1,4,0.25,0,0,0.0,1,3,4,5,1,0,3,4,9,-5
Phoenix Suns,F,Luis Scola,Cleveland Cavaliers,W,11/09/2012,24:31,2,6,0.333,0,0,0.0,1,2,0.5,1,5,6,1,2,1,4,1,5,-14
Phoenix Suns,C,Marcin Gortat,Cleveland Cavaliers,W,11/09/2012,36:47,4,6,0.667,0,0,0.0,4,5,0.8,0,8,8,0,3,5,0,3,12,12
