Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Portland Trail Blazers,F,Nicolas Batum,Los Angeles Lakers,W,10/31/2012,40:16,9,16,0.563,3,9,0.333,5,7,0.714,4,2,6,1,3,1,1,2,26,1
Portland Trail Blazers,F,LaMarcus Aldridge,Los Angeles Lakers,W,10/31/2012,38:42,9,20,0.45,0,0,0.0,1,1,1.0,0,3,3,0,0,2,1,2,19,2
Portland Trail Blazers,C,JJ Hickson,Los Angeles Lakers,W,10/31/2012,24:40,5,10,0.5,0,0,0.0,3,3,1.0,5,5,10,1,1,2,3,4,13,-6
Portland Trail Blazers,G,Wesley Matthews,Los Angeles Lakers,W,10/31/2012,36:51,7,11,0.636,4,6,0.667,4,6,0.667,0,2,2,2,4,0,0,5,22,4
Portland Trail Blazers,G,Damian Lillard,Los Angeles Lakers,W,10/31/2012,34:59,7,17,0.412,1,4,0.25,8,8,1.0,0,3,3,11,1,0,6,2,23,16
Portland Trail Blazers,F,Nicolas Batum,Oklahoma City Thunder,L,11/02/2012,36:41,1,11,0.091,1,5,0.2,0,0,0.0,0,1,1,2,1,0,1,4,3,-17
Portland Trail Blazers,F,LaMarcus Aldridge,Oklahoma City Thunder,L,11/02/2012,35:50,8,22,0.364,0,1,0.0,6,6,1.0,2,13,15,3,1,0,2,5,22,-8
Portland Trail Blazers,C,JJ Hickson,Oklahoma City Thunder,L,11/02/2012,25:37,5,12,0.417,0,0,0.0,4,6,0.667,7,5,12,1,0,0,2,2,14,-3
Portland Trail Blazers,G,Wesley Matthews,Oklahoma City Thunder,L,11/02/2012,35:27,5,15,0.333,4,9,0.444,3,5,0.6,0,3,3,0,0,0,1,3,17,1
Portland Trail Blazers,G,Damian Lillard,Oklahoma City Thunder,L,11/02/2012,37:33,9,19,0.474,2,6,0.333,1,1,1.0,1,2,3,7,1,0,2,1,21,-9
Portland Trail Blazers,F,Nicolas Batum,Houston Rockets,W,11/03/2012,44:43,5,11,0.455,4,6,0.667,3,4,0.75,1,8,9,4,6,2,2,1,17,14
Portland Trail Blazers,F,LaMarcus Aldridge,Houston Rockets,W,11/03/2012,41:45,13,29,0.448,0,0,0.0,1,2,0.5,3,8,11,6,1,2,3,3,27,27
Portland Trail Blazers,C,JJ Hickson,Houston Rockets,W,11/03/2012,36:18,4,10,0.4,0,0,0.0,1,2,0.5,2,10,12,2,0,1,3,4,9,8
Portland Trail Blazers,G,Wesley Matthews,Houston Rockets,W,11/03/2012,42:15,7,18,0.389,2,7,0.286,0,0,0.0,0,5,5,5,2,0,1,4,16,12
Portland Trail Blazers,G,Damian Lillard,Houston Rockets,W,11/03/2012,42:18,8,15,0.533,3,6,0.5,1,2,0.5,1,5,6,9,0,0,3,0,20,10
Portland Trail Blazers,F,Nicolas Batum,Dallas Mavericks,L,11/05/2012,35:46,6,13,0.462,0,5,0.0,2,2,1.0,2,3,5,3,1,1,1,0,14,-15
Portland Trail Blazers,F,LaMarcus Aldridge,Dallas Mavericks,L,11/05/2012,32:12,9,19,0.474,0,1,0.0,2,3,0.667,1,6,7,2,1,1,0,0,20,-14
Portland Trail Blazers,C,JJ Hickson,Dallas Mavericks,L,11/05/2012,25:00,3,10,0.3,0,0,0.0,1,2,0.5,7,4,11,0,1,0,2,0,7,-14
Portland Trail Blazers,G,Wesley Matthews,Dallas Mavericks,L,11/05/2012,36:10,8,15,0.533,3,4,0.75,1,3,0.333,2,1,3,0,1,0,5,1,20,-20
Portland Trail Blazers,G,Damian Lillard,Dallas Mavericks,L,11/05/2012,32:47,2,13,0.154,1,8,0.125,8,8,1.0,1,2,3,5,1,0,1,2,13,-12
Portland Trail Blazers,F,Nicolas Batum,Los Angeles Clippers,L,11/08/2012,40:19,6,18,0.333,3,10,0.3,8,12,0.667,1,8,9,5,3,1,2,3,23,-4
Portland Trail Blazers,F,LaMarcus Aldridge,Los Angeles Clippers,L,11/08/2012,42:23,7,17,0.412,0,0,0.0,0,0,0.0,1,3,4,5,0,1,1,2,14,-11
Portland Trail Blazers,C,JJ Hickson,Los Angeles Clippers,L,11/08/2012,22:51,2,4,0.5,0,0,0.0,1,2,0.5,1,4,5,0,0,1,1,0,5,-12
Portland Trail Blazers,G,Wesley Matthews,Los Angeles Clippers,L,11/08/2012,37:48,4,12,0.333,1,4,0.25,1,3,0.333,1,1,2,4,3,0,3,3,10,-10
Portland Trail Blazers,G,Damian Lillard,Los Angeles Clippers,L,11/08/2012,41:21,6,13,0.462,2,4,0.5,2,4,0.5,1,1,2,4,3,0,3,2,16,-10
Portland Trail Blazers,F,Nicolas Batum,San Antonio Spurs,L,11/10/2012,39:03,11,18,0.611,5,7,0.714,6,6,1.0,1,6,7,4,2,1,3,4,33,-8
Portland Trail Blazers,F,LaMarcus Aldridge,San Antonio Spurs,L,11/10/2012,41:24,12,26,0.462,0,2,0.0,5,6,0.833,2,2,4,7,2,4,3,3,29,19
Portland Trail Blazers,C,JJ Hickson,San Antonio Spurs,L,11/10/2012,34:23,5,8,0.625,0,0,0.0,3,4,0.75,5,9,14,0,1,0,0,5,13,15
Portland Trail Blazers,G,Wesley Matthews,San Antonio Spurs,L,11/10/2012,37:26,4,11,0.364,1,3,0.333,1,2,0.5,1,2,3,4,2,0,2,4,10,14
Portland Trail Blazers,G,Damian Lillard,San Antonio Spurs,L,11/10/2012,37:49,8,16,0.5,4,8,0.5,0,1,0.0,1,2,3,6,2,0,4,3,20,1
Portland Trail Blazers,F,Nicolas Batum,Atlanta Hawks,L,11/12/2012,40:10,8,17,0.471,3,8,0.375,0,0,0.0,2,5,7,1,1,0,4,2,19,-6
Portland Trail Blazers,F,LaMarcus Aldridge,Atlanta Hawks,L,11/12/2012,36:11,4,13,0.308,0,0,0.0,6,9,0.667,2,4,6,8,2,0,5,5,14,-4
Portland Trail Blazers,C,JJ Hickson,Atlanta Hawks,L,11/12/2012,32:57,8,14,0.571,0,0,0.0,3,5,0.6,7,11,18,0,2,1,3,1,19,-4
