Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sacramento Kings,,Marcus Thornton,Chicago Bulls,L,10/31/2012,31:48,5,15,0.333,1,6,0.167,4,5,0.8,0,4,4,2,1,0,0,1,15,1
Sacramento Kings,,Thomas Robinson,Chicago Bulls,L,10/31/2012,21:33,1,5,0.2,0,0,0.0,1,2,0.5,1,2,3,0,1,0,3,3,3,1
Sacramento Kings,,Aaron Brooks,Chicago Bulls,L,10/31/2012,23:17,3,10,0.3,1,3,0.333,0,1,0.0,0,3,3,1,1,0,0,6,7,0
Sacramento Kings,,Francisco Garcia,Chicago Bulls,L,10/31/2012,7:40,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,5,0
Sacramento Kings,,Charles Hayes,Chicago Bulls,L,10/31/2012,17:43,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,3,1,1,0,3,2,-2
Sacramento Kings,,Jimmer Fredette,Chicago Bulls,L,10/31/2012,0:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Sacramento Kings,,Travis Outlaw,Minnesota Timberwolves,L,11/02/2012,8:07,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,2,2,-4
Sacramento Kings,,Marcus Thornton,Minnesota Timberwolves,L,11/02/2012,27:39,6,13,0.462,0,4,0.0,3,3,1.0,0,0,0,2,0,0,0,1,15,-3
Sacramento Kings,,Aaron Brooks,Minnesota Timberwolves,L,11/02/2012,7:09,0,5,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-5
Sacramento Kings,,Charles Hayes,Minnesota Timberwolves,L,11/02/2012,20:09,1,3,0.333,0,0,0.0,1,2,0.5,3,8,11,2,0,1,1,3,3,-1
Sacramento Kings,,Thomas Robinson,Minnesota Timberwolves,L,11/02/2012,11:35,0,1,0.0,0,0,0.0,2,2,1.0,0,4,4,0,2,0,1,2,2,-8
Sacramento Kings,,Francisco Garcia,Minnesota Timberwolves,L,11/02/2012,15:20,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,2,0,-7
Sacramento Kings,,Jimmer Fredette,Minnesota Timberwolves,L,11/02/2012,15:06,3,5,0.6,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,2,6,0
Sacramento Kings,,Marcus Thornton,Indiana Pacers,L,11/03/2012,42:27,9,21,0.429,4,10,0.4,4,4,1.0,2,4,6,4,2,0,1,3,26,1
Sacramento Kings,,Charles Hayes,Indiana Pacers,L,11/03/2012,34:17,1,2,0.5,0,0,0.0,0,0,0.0,2,4,6,4,0,3,0,4,2,-7
Sacramento Kings,,Francisco Garcia,Indiana Pacers,L,11/03/2012,13:48,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,4
Sacramento Kings,,Thomas Robinson,Indiana Pacers,L,11/03/2012,11:39,3,6,0.5,0,0,0.0,3,4,0.75,0,0,0,0,2,0,1,3,9,-1
Sacramento Kings,,Aaron Brooks,Indiana Pacers,L,11/03/2012,34:53,4,11,0.364,3,7,0.429,0,0,0.0,1,4,5,2,1,1,2,5,11,-4
Sacramento Kings,,Marcus Thornton,Golden State Warriors,W,11/05/2012,29:45,6,15,0.4,2,8,0.25,2,2,1.0,1,3,4,3,1,0,0,1,16,1
Sacramento Kings,,Aaron Brooks,Golden State Warriors,W,11/05/2012,20:00,5,8,0.625,1,2,0.5,1,2,0.5,0,0,0,2,0,0,2,3,12,1
Sacramento Kings,,Charles Hayes,Golden State Warriors,W,11/05/2012,23:40,2,3,0.667,0,0,0.0,0,0,0.0,3,3,6,1,0,0,1,1,4,-2
Sacramento Kings,,Thomas Robinson,Golden State Warriors,W,11/05/2012,11:46,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,3,6,3
Sacramento Kings,,Travis Outlaw,Golden State Warriors,W,11/05/2012,12:48,1,4,0.25,0,2,0.0,0,0,0.0,0,3,3,2,0,0,2,2,2,-2
Sacramento Kings,,Jimmer Fredette,Golden State Warriors,W,11/05/2012,2:10,2,2,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,1,5,-4
Sacramento Kings,,Marcus Thornton,Detroit Pistons,W,11/07/2012,27:40,5,12,0.417,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,0,11,6
Sacramento Kings,,Aaron Brooks,Detroit Pistons,W,11/07/2012,24:01,5,12,0.417,1,5,0.2,0,0,0.0,0,2,2,4,1,0,0,3,11,13
Sacramento Kings,,Thomas Robinson,Detroit Pistons,W,11/07/2012,11:52,1,2,0.5,0,0,0.0,0,1,0.0,4,3,7,0,1,1,3,3,2,9
Sacramento Kings,,Charles Hayes,Detroit Pistons,W,11/07/2012,16:19,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,3,1,0,10
Sacramento Kings,,Jimmer Fredette,Detroit Pistons,W,11/07/2012,15:12,3,7,0.429,2,3,0.667,4,4,1.0,0,0,0,2,1,0,0,0,12,1
Sacramento Kings,,Aaron Brooks,San Antonio Spurs,L,11/09/2012,18:42,0,5,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-11
Sacramento Kings,,Marcus Thornton,San Antonio Spurs,L,11/09/2012,28:10,7,17,0.412,2,6,0.333,1,3,0.333,2,2,4,3,0,0,0,3,17,-12
Sacramento Kings,,Charles Hayes,San Antonio Spurs,L,11/09/2012,24:30,1,6,0.167,0,0,0.0,0,0,0.0,3,4,7,3,0,0,1,2,2,0
Sacramento Kings,,Francisco Garcia,San Antonio Spurs,L,11/09/2012,7:57,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,0,2,-6
Sacramento Kings,,Travis Outlaw,San Antonio Spurs,L,11/09/2012,6:31,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,0,0,0,-6
Sacramento Kings,,Jimmer Fredette,San Antonio Spurs,L,11/09/2012,4:53,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-5
Sacramento Kings,,John Salmons,San Antonio Spurs,L,11/09/2012,4:46,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,1,1,0,0,1,0
Sacramento Kings,,Charles Hayes,Los Angeles Lakers,L,11/11/2012,28:03,3,7,0.429,0,0,0.0,0,0,0.0,4,4,8,1,2,1,0,5,6,-2
Sacramento Kings,,Marcus Thornton,Los Angeles Lakers,L,11/11/2012,21:40,1,10,0.1,0,2,0.0,0,0,0.0,1,2,3,3,1,0,1,2,2,-14
Sacramento Kings,,John Salmons,Los Angeles Lakers,L,11/11/2012,22:32,3,9,0.333,1,3,0.333,2,2,1.0,0,2,2,2,1,1,2,2,9,3
