Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
San Antonio Spurs,,Stephen Jackson,New Orleans Hornets,W,10/31/2012,24:45,2,6,0.333,0,3,0.0,3,6,0.5,1,4,5,1,1,0,0,5,7,-4
San Antonio Spurs,,Matt Bonner,New Orleans Hornets,W,10/31/2012,9:32,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,0,1,1,2,3,-6
San Antonio Spurs,,Tiago Splitter,New Orleans Hornets,W,10/31/2012,15:50,3,5,0.6,0,0,0.0,1,2,0.5,3,3,6,1,0,0,1,1,7,-9
San Antonio Spurs,,Gary Neal,New Orleans Hornets,W,10/31/2012,17:20,1,5,0.2,0,2,0.0,0,1,0.0,1,2,3,3,0,0,1,1,2,-3
San Antonio Spurs,,Patty Mills,New Orleans Hornets,W,10/31/2012,6:03,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,1,0,1,2,0,1,-4
San Antonio Spurs,,Gary Neal,Oklahoma City Thunder,W,11/01/2012,16:47,4,6,0.667,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,0,8,0
San Antonio Spurs,,Tiago Splitter,Oklahoma City Thunder,W,11/01/2012,4:16,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-4
San Antonio Spurs,,Stephen Jackson,Oklahoma City Thunder,W,11/01/2012,27:23,4,10,0.4,1,5,0.2,2,2,1.0,2,4,6,3,1,0,2,1,11,2
San Antonio Spurs,,Matt Bonner,Oklahoma City Thunder,W,11/01/2012,8:13,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0,0
San Antonio Spurs,,Patty Mills,Oklahoma City Thunder,W,11/01/2012,2:15,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2
San Antonio Spurs,,DeJuan Blair,Oklahoma City Thunder,W,11/01/2012,10:31,1,5,0.2,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,1,2,9
San Antonio Spurs,,Stephen Jackson,Utah Jazz,W,11/03/2012,15:38,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,1,1,1,2,2,2,-15
San Antonio Spurs,,Tiago Splitter,Utah Jazz,W,11/03/2012,19:08,2,6,0.333,0,0,0.0,1,3,0.333,3,2,5,2,0,1,3,5,5,-11
San Antonio Spurs,,Manu Ginobili,Utah Jazz,W,11/03/2012,15:30,4,7,0.571,0,2,0.0,0,0,0.0,0,2,2,2,1,1,2,0,8,0
San Antonio Spurs,,Gary Neal,Utah Jazz,W,11/03/2012,12:14,3,4,0.75,1,2,0.5,4,4,1.0,1,0,1,2,0,0,0,0,11,-5
San Antonio Spurs,,Matt Bonner,Utah Jazz,W,11/03/2012,18:41,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,1,1,5,1
