Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Toronto Raptors,F,Landry Fields,Indiana Pacers,L,10/31/2012,24:05,0,6,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,1,1,0,6
Toronto Raptors,F,Andrea Bargnani,Indiana Pacers,L,10/31/2012,34:22,4,15,0.267,1,4,0.25,7,8,0.875,0,3,3,1,0,3,3,2,16,-3
Toronto Raptors,C,Jonas Valanciunas,Indiana Pacers,L,10/31/2012,23:05,6,15,0.4,0,0,0.0,0,0,0.0,6,4,10,0,0,1,0,4,12,-7
Toronto Raptors,G,DeMar DeRozan,Indiana Pacers,L,10/31/2012,27:29,5,14,0.357,0,0,0.0,0,0,0.0,3,2,5,1,0,1,0,1,10,-5
Toronto Raptors,G,Kyle Lowry,Indiana Pacers,L,10/31/2012,36:12,6,11,0.545,2,3,0.667,7,7,1.0,1,6,7,8,5,0,2,3,21,-1
Toronto Raptors,F,Landry Fields,Brooklyn Nets,L,11/03/2012,22:00,1,4,0.25,0,0,0.0,0,0,0.0,3,2,5,4,0,0,1,3,2,-5
Toronto Raptors,F,Andrea Bargnani,Brooklyn Nets,L,11/03/2012,34:19,6,12,0.5,1,1,1.0,0,0,0.0,1,2,3,3,0,0,3,2,13,-3
Toronto Raptors,C,Jonas Valanciunas,Brooklyn Nets,L,11/03/2012,12:14,1,4,0.25,0,0,0.0,0,0,0.0,1,2,3,2,0,2,1,3,2,1
Toronto Raptors,G,DeMar DeRozan,Brooklyn Nets,L,11/03/2012,33:44,8,13,0.615,1,2,0.5,8,10,0.8,0,3,3,1,1,0,0,3,25,-3
Toronto Raptors,G,Kyle Lowry,Brooklyn Nets,L,11/03/2012,39:42,9,19,0.474,4,10,0.4,6,7,0.857,0,8,8,8,3,1,5,5,28,-2
Toronto Raptors,F,Landry Fields,Minnesota Timberwolves,W,11/04/2012,21:20,2,4,0.5,0,0,0.0,1,1,1.0,0,3,3,0,1,0,2,1,5,8
Toronto Raptors,F,Andrea Bargnani,Minnesota Timberwolves,W,11/04/2012,24:01,4,16,0.25,2,4,0.5,0,0,0.0,1,0,1,0,0,0,0,3,10,5
Toronto Raptors,C,Jonas Valanciunas,Minnesota Timberwolves,W,11/04/2012,22:42,2,8,0.25,0,0,0.0,0,0,0.0,3,1,4,2,0,1,1,3,4,2
Toronto Raptors,G,DeMar DeRozan,Minnesota Timberwolves,W,11/04/2012,32:26,8,14,0.571,1,2,0.5,5,6,0.833,2,5,7,2,3,0,2,3,22,13
Toronto Raptors,G,Kyle Lowry,Minnesota Timberwolves,W,11/04/2012,31:46,8,10,0.8,2,3,0.667,4,4,1.0,4,3,7,5,3,0,2,1,22,10
Toronto Raptors,F,Landry Fields,Oklahoma City Thunder,L,11/06/2012,20:12,1,6,0.167,0,2,0.0,1,2,0.5,0,2,2,2,1,0,0,0,3,-11
Toronto Raptors,F,Andrea Bargnani,Oklahoma City Thunder,L,11/06/2012,25:07,5,14,0.357,3,6,0.5,3,3,1.0,0,6,6,0,0,0,2,2,16,-22
Toronto Raptors,C,Jonas Valanciunas,Oklahoma City Thunder,L,11/06/2012,31:34,6,8,0.75,0,0,0.0,6,6,1.0,3,3,6,1,0,0,3,1,18,-9
Toronto Raptors,G,DeMar DeRozan,Oklahoma City Thunder,L,11/06/2012,27:34,2,10,0.2,0,2,0.0,4,4,1.0,0,1,1,0,1,0,2,2,8,-27
Toronto Raptors,G,Kyle Lowry,Oklahoma City Thunder,L,11/06/2012,16:45,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,4,1,1,1,1,2,-14
Toronto Raptors,F,Landry Fields,Dallas Mavericks,L,11/07/2012,19:11,1,4,0.25,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,1,2,-12
Toronto Raptors,F,Andrea Bargnani,Dallas Mavericks,L,11/07/2012,38:42,9,20,0.45,0,5,0.0,7,7,1.0,2,7,9,3,2,0,0,1,25,7
Toronto Raptors,C,Jonas Valanciunas,Dallas Mavericks,L,11/07/2012,10:29,2,4,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,2,5,4,-13
Toronto Raptors,G,DeMar DeRozan,Dallas Mavericks,L,11/07/2012,40:22,8,17,0.471,0,3,0.0,8,10,0.8,0,6,6,7,0,0,1,2,24,5
Toronto Raptors,G,Jose Calderon,Dallas Mavericks,L,11/07/2012,33:10,4,10,0.4,3,5,0.6,0,0,0.0,0,0,0,6,1,0,0,2,11,-1
Toronto Raptors,F,Alan Anderson,Philadelphia 76ers,L,11/10/2012,26:60,3,8,0.375,1,5,0.2,0,0,0.0,0,3,3,1,0,0,2,1,7,10
Toronto Raptors,F,Andrea Bargnani,Philadelphia 76ers,L,11/10/2012,40:51,9,19,0.474,3,6,0.5,2,4,0.5,0,5,5,3,3,0,1,1,23,4
Toronto Raptors,C,Jonas Valanciunas,Philadelphia 76ers,L,11/10/2012,20:18,3,6,0.5,0,0,0.0,2,2,1.0,3,5,8,1,0,1,0,2,8,-2
Toronto Raptors,G,DeMar DeRozan,Philadelphia 76ers,L,11/10/2012,44:22,6,17,0.353,1,1,1.0,6,8,0.75,1,5,6,0,1,0,1,4,19,-4
Toronto Raptors,G,Jose Calderon,Philadelphia 76ers,L,11/10/2012,38:24,5,11,0.455,4,7,0.571,0,0,0.0,1,2,3,11,0,1,4,3,14,3
Toronto Raptors,F,Dominic McGuire,Utah Jazz,L,11/12/2012,32:36,2,3,0.667,0,0,0.0,1,2,0.5,0,3,3,1,0,1,1,4,5,-10
Toronto Raptors,F,Andrea Bargnani,Utah Jazz,L,11/12/2012,48:44,5,17,0.294,1,4,0.25,8,9,0.889,2,6,8,1,1,2,2,2,19,2
Toronto Raptors,C,Jonas Valanciunas,Utah Jazz,L,11/12/2012,16:00,3,3,1.0,0,0,0.0,4,4,1.0,1,0,1,1,1,0,1,4,10,-1
Toronto Raptors,G,DeMar DeRozan,Utah Jazz,L,11/12/2012,60:00,16,33,0.485,1,6,0.167,4,7,0.571,1,7,8,6,2,0,5,4,37,-10
Toronto Raptors,G,Jose Calderon,Utah Jazz,L,11/12/2012,49:59,8,16,0.5,2,4,0.5,2,2,1.0,1,1,2,17,3,0,5,2,20,-7
Toronto Raptors,F,Dominic McGuire,Indiana Pacers,W,11/13/2012,18:11,1,1,1.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,2,2
Toronto Raptors,F,Andrea Bargnani,Indiana Pacers,W,11/13/2012,29:46,3,13,0.231,2,6,0.333,0,0,0.0,0,2,2,1,0,0,1,3,8,5
Toronto Raptors,C,Jonas Valanciunas,Indiana Pacers,W,11/13/2012,22:07,4,8,0.5,0,0,0.0,1,2,0.5,1,7,8,2,2,0,1,2,9,4
Toronto Raptors,G,DeMar DeRozan,Indiana Pacers,W,11/13/2012,40:23,5,13,0.385,0,0,0.0,5,6,0.833,1,4,5,0,0,1,2,4,15,-2
Toronto Raptors,G,Jose Calderon,Indiana Pacers,W,11/13/2012,39:07,5,10,0.5,2,2,1.0,1,1,1.0,1,9,10,10,0,0,4,1,13,5
Toronto Raptors,F,Dominic McGuire,Boston Celtics,L,11/17/2012,17:29,1,4,0.25,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,1,2,-8
Toronto Raptors,F,Andrea Bargnani,Boston Celtics,L,11/17/2012,26:17,5,14,0.357,1,5,0.2,4,5,0.8,1,1,2,2,0,1,4,2,15,-22
Toronto Raptors,C,Jonas Valanciunas,Boston Celtics,L,11/17/2012,19:20,1,4,0.25,0,0,0.0,1,1,1.0,0,2,2,0,0,0,2,6,3,-7
Toronto Raptors,G,DeMar DeRozan,Boston Celtics,L,11/17/2012,24:04,5,10,0.5,0,1,0.0,0,0,0.0,0,3,3,1,1,0,0,1,10,-5
Toronto Raptors,G,Jose Calderon,Boston Celtics,L,11/17/2012,28:10,3,7,0.429,2,3,0.667,2,3,0.667,0,2,2,9,1,0,3,1,10,-15
Toronto Raptors,F,Dominic McGuire,Orlando Magic,W,11/18/2012,21:36,5,9,0.556,0,0,0.0,1,2,0.5,1,2,3,0,1,1,0,4,11,4
Toronto Raptors,F,Andrea Bargnani,Orlando Magic,W,11/18/2012,39:30,7,19,0.368,1,4,0.25,2,2,1.0,1,4,5,1,2,2,2,3,17,20
Toronto Raptors,C,Jonas Valanciunas,Orlando Magic,W,11/18/2012,23:32,2,5,0.4,0,0,0.0,2,6,0.333,4,3,7,0,1,1,2,3,6,-1
Toronto Raptors,G,DeMar DeRozan,Orlando Magic,W,11/18/2012,38:07,8,16,0.5,1,2,0.5,3,5,0.6,2,7,9,2,0,0,1,2,20,8
Toronto Raptors,G,Jose Calderon,Orlando Magic,W,11/18/2012,42:43,3,8,0.375,2,5,0.4,1,1,1.0,0,2,2,18,1,1,2,2,9,15
Toronto Raptors,F,Dominic McGuire,Philadelphia 76ers,L,11/20/2012,20:13,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,2,0,1,1,4,4,5
Toronto Raptors,F,Andrea Bargnani,Philadelphia 76ers,L,11/20/2012,39:42,10,21,0.476,2,5,0.4,0,2,0.0,2,5,7,1,1,0,2,2,22,-8
Toronto Raptors,C,Jonas Valanciunas,Philadelphia 76ers,L,11/20/2012,25:09,3,6,0.5,0,0,0.0,5,6,0.833,3,8,11,3,0,3,1,0,11,7
Toronto Raptors,G,DeMar DeRozan,Philadelphia 76ers,L,11/20/2012,42:13,8,18,0.444,1,1,1.0,7,8,0.875,1,3,4,0,1,0,0,0,24,-11
Toronto Raptors,G,Jose Calderon,Philadelphia 76ers,L,11/20/2012,37:13,5,10,0.5,1,3,0.333,2,2,1.0,0,5,5,12,0,0,2,1,13,-10
Toronto Raptors,F,Dominic McGuire,Charlotte Bobcats,L,11/21/2012,25:07,0,1,0.0,0,0,0.0,0,2,0.0,3,5,8,5,0,1,0,2,0,-4
Toronto Raptors,F,Andrea Bargnani,Charlotte Bobcats,L,11/21/2012,33:06,9,17,0.529,2,3,0.667,5,5,1.0,1,1,2,0,0,0,1,3,25,4
Toronto Raptors,C,Jonas Valanciunas,Charlotte Bobcats,L,11/21/2012,34:54,8,11,0.727,0,0,0.0,0,0,0.0,2,8,10,2,0,1,1,6,16,8
Toronto Raptors,G,DeMar DeRozan,Charlotte Bobcats,L,11/21/2012,36:57,6,13,0.462,0,0,0.0,2,3,0.667,1,2,3,2,0,1,5,3,14,3
Toronto Raptors,G,Kyle Lowry,Charlotte Bobcats,L,11/21/2012,35:47,6,15,0.4,4,7,0.571,5,7,0.714,0,3,3,8,2,3,3,4,21,3
Toronto Raptors,F,Dominic McGuire,Detroit Pistons,L,11/23/2012,21:16,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,1,1,0,1,1,0,-8
Toronto Raptors,F,Andrea Bargnani,Detroit Pistons,L,11/23/2012,37:39,13,20,0.65,3,5,0.6,5,6,0.833,2,3,5,4,1,1,2,3,34,-3
Toronto Raptors,C,Jonas Valanciunas,Detroit Pistons,L,11/23/2012,31:19,3,6,0.5,0,0,0.0,3,4,0.75,2,4,6,1,0,2,2,4,9,-7
Toronto Raptors,G,DeMar DeRozan,Detroit Pistons,L,11/23/2012,34:06,2,9,0.222,0,0,0.0,1,2,0.5,0,1,1,1,0,0,2,2,5,-5
Toronto Raptors,G,Kyle Lowry,Detroit Pistons,L,11/23/2012,31:54,6,17,0.353,2,7,0.286,5,7,0.714,0,6,6,5,3,0,2,5,19,-2
Toronto Raptors,F,Dominic McGuire,San Antonio Spurs,L,11/25/2012,15:47,0,0,0.0,0,0,0.0,0,0,0.0,0,7,7,0,1,1,1,2,0,-1
Toronto Raptors,F,Andrea Bargnani,San Antonio Spurs,L,11/25/2012,36:21,2,19,0.105,0,7,0.0,0,1,0.0,1,7,8,1,1,1,2,3,4,0
Toronto Raptors,C,Jonas Valanciunas,San Antonio Spurs,L,11/25/2012,39:26,9,13,0.692,0,0,0.0,4,5,0.8,0,7,7,3,0,3,3,4,22,-3
Toronto Raptors,G,DeMar DeRozan,San Antonio Spurs,L,11/25/2012,51:18,11,28,0.393,0,2,0.0,7,8,0.875,1,6,7,3,3,0,1,2,29,-8
