player	team	fgm	fga	fgp	fg3m	fg3a	fg3p	ftm	fta	ftp	oreb	dreb	reb	ast	stl	blk	tovr	pf	pts	plus_minus
"A.J. Price"	"Minnesota Timberwolves"	12	28	0.4285714285714285	4	13	0.3076923076923077	0	1	0.0	0	7	7	11	1	0	5	5	28	2
"Aaron Brooks"	"Houston Rockets"	96	240	0.4	48	118	0.4067796610169492	34	40	0.85	22	36	58	76	23	4	45	68	274	-34
"Aaron Gray"	"Sacramento Kings"	8	20	0.4	0	1	0.0	4	10	0.4	10	20	30	3	2	1	11	24	20	-18
"Aaron Gray"	"Toronto Raptors"	2	3	0.6666666666666666	0	0	0.0	1	2	0.5	3	5	8	3	0	0	4	7	5	-5
"Al Harrington"	"Washington Wizards"	19	52	0.3653846153846154	12	28	0.4285714285714285	5	7	0.7142857142857143	0	10	10	7	4	0	9	16	55	-57
"Al Horford"	"Atlanta Hawks"	238	420	0.5666666666666667	4	11	0.3636363636363636	58	85	0.6823529411764706	66	178	244	76	27	44	64	56	538	73
"Al Jefferson"	"Charlotte Bobcats"	281	590	0.476271186440678	1	3	0.3333333333333333	80	119	0.6722689075630253	79	286	365	73	33	43	43	90	643	-37
"Al-Farouq Aminu"	"New Orleans Hornets"	122	263	0.4638783269961977	6	21	0.2857142857142857	41	68	0.6029411764705882	69	202	271	62	45	27	47	68	291	-131
"Alan Anderson"	"New Jersey Nets"	117	288	0.40625	55	149	0.3691275167785235	53	66	0.803030303030303	24	84	108	48	34	9	30	85	342	-52
"Alec Burks"	"Utah Jazz"	200	454	0.4405286343612335	25	72	0.3472222222222222	135	177	0.7627118644067796	34	102	136	120	33	10	75	101	560	-130
"Alex Len"	"Phoenix Suns"	10	24	0.4166666666666667	0	0	0.0	5	8	0.625	19	12	31	1	2	4	6	19	25	-15
"Alexey Shved"	"Minnesota Timberwolves"	48	151	0.3178807947019868	21	66	0.3181818181818182	43	57	0.7543859649122807	16	42	58	41	20	12	23	23	160	16
"Alexis Ajinca"	"New Orleans Hornets"	30	52	0.5769230769230769	0	0	0.0	12	16	0.75	23	47	70	12	5	11	16	46	72	-1
